product_id,product_fullName,product_url,product_name,product_cost,review_title,review_content,review_rating,review_date,review_location,review_likes,review_dislikes
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=1,Intel i3-12100F,"10,950",Excellent,Used it in my first Gaming PC build with a RTX 3060 ti today. Amazing performance !! It's the best budget CPU at this price range and also one of the best budget CPU Intel has ever built. It rarely bottlenecks the RTX 3060 ti in gaming. Only bottlenecks in extremely CPU heavy games like RDR2 when played on 1080p resolution. So I would suggest you to play on 1440p resolution if your monitor supports it as it becomes less CPU bound and more GPU bound which will almost eliminate any kind of bott...,5,"Jan, 2023", Durgapur,37,2
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=1,Intel i3-12100F,"10,950",Pretty good,Just make sure your seller is RetailNet and you are good to go. Though packaging was not up to the mark. You will be blown away with its performance. A must buy for those who are on a tight budget.,4,"Oct, 2022", Bidhan Nagar,16,4
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=1,Intel i3-12100F,"10,950",Excellent,Very good performance,5,"May, 2022", Bathinda,9,2
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=1,Intel i3-12100F,"10,950",Fabulous!,Good,5,"Apr, 2023", Ratnagiri,6,1
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=1,Intel i3-12100F,"10,950",Value-for-money,Good,4,"Jan, 2023", Bhopal,3,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=1,Intel i3-12100F,"10,950",Really Nice,Delivered on time and nice product 😊✨,4,"Dec, 2022", Gorakhpur,3,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=1,Intel i3-12100F,"10,950",Excellent,Very Nice Processor. And i have to say that Retailnet is one of the trusted seller out there. Both Flipkart and seller packaging good no issues there. Previously i was using i5 3470 so i clearly the performance of this beast. I recently bought rx 6500xt which requires pcie 4.0 and with my previous processor it bottleneck so much. That is why i bought this one . Well anyone who is looking for Processor in budget so consider this one.,5,"May, 2023", Guwahati,2,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=1,Intel i3-12100F,"10,950",Simply awesome,Good Purchase,5,"Oct, 2022", Nedumangad,2,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=1,Intel i3-12100F,"10,950",Just wow!,no issues,5,"Jul, 2022", Hamirpur,2,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=1,Intel i3-12100F,"10,950",Wonderful,Processor is Great without any doubt. Work like a charm. I used i7 6700k before and this i3 12100f is powerful than that at 1/4th of the price. I'm happy with the purchase. But however after the cpu fan connects and start spinning for the 1st time one of the fan blade has broken. I think that blade is broken from the beginning and glued it somehow that's why I can't see it at the time of delivery. It's not something that can hamper your work but as it is new you don't like any broken part whe...,4,10 months ago, Bankura,1,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=2,Intel i3-12100F,"10,950",Terrific,Nice Working,5,"Apr, 2023", Maraimalainagar,1,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=2,Intel i3-12100F,"10,950",Highly recommended,This is the best proccer for budget gamers,5,"Mar, 2023", New Town,1,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=2,Intel i3-12100F,"10,950",Simply awesome,Best processor you can get under 9K,5,"Feb, 2023", Ernakulam,1,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=2,Intel i3-12100F,"10,950",Must buy!,Great budget gaming CPU in 2022. Much better than competition at the same price point.,5,"Jan, 2023", Bhubaneswar,1,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=2,Intel i3-12100F,"10,950",Best in the market!,Bang for the buck must buy,5,"Nov, 2022", Thane,1,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=2,Intel i3-12100F,"10,950",Delightful,Great performance.Just pair it with good graphic card and you can play all games to high settings at hd resolution.,4,"Oct, 2022", Rohtak,1,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=2,Intel i3-12100F,"10,950",Very Good,Budget beast,4,"Aug, 2022", Jammalamadugu,1,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=2,Intel i3-12100F,"10,950","Reasonable price, good performer.","Very poor packaging, but good experience overall. Product was delivered in factory sealed box (which was scuffed and banged about in transport quite a lot, so it looks really old but it's not) and works well. I already have the one with iGPU doing HTPC duty, and this is one is used to replace an old 3rd Gen Xeon, so it's a big step up. Pricing was better than offline retail, but the poor handling is quite a let-down.",4,"Jan, 2023", Calcutta,1,1
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=2,Intel i3-12100F,"10,950",Decent product,Cpu Fan is not working,3,"Aug, 2022", Rosera,1,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=2,Intel i3-12100F,"10,950",Did not meet expectations,"Received damaged product maybe logistics team did it very bad experience since last 2 orders also this is a non returnable order in the i have to suffer please dont buy these things from Flipkart,i will do whatever in my power to get my hard earned money", ,"Jan, 2023", Jabalpur,55,5
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=3,Intel i3-12100F,"10,950",Terrific,Bast,5,"Jun, 2022", Puri,1,2
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=3,Intel i3-12100F,"10,950",Perfect product!,It's a genuine product. You can buy from this seller.And it's much better than i5 12th gen as it's not worth paying more for additional 2 cores which you won't even notice in your day to day use!,5,2 months ago, Kolkata,0,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=3,Intel i3-12100F,"10,950",Just wow!,If you need a powerful cpu in budget which can handle heavy title go for it... It is the best budget gaming cpu,5,2 months ago, Chapra,0,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=3,Intel i3-12100F,"10,950",Did not meet expectations,"Not Working, Not Even Started", ,2 months ago, Vijayawada,0,1
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=3,Intel i3-12100F,"10,950",Excellent,"Super sonic speed work, really am happy 😊",5,2 months ago, Koppal District,0,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=3,Intel i3-12100F,"10,950",Worth every penny,Good processor better than 10th gen i9 and i bought for graphics design it is running very good on stock cooler,5,4 months ago, Kanpur,0,0
itm0ffcf9089ca76,intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-12100f-4-3-ghz-upto-lga1700-socket-4-cores-8-threads-desktop-processor/product-reviews/itm0ffcf9089ca76?page=3,Intel i3-12100F,"10,950",Awesome,if you are going to have a dedicated graphics card then this is good for you,5,5 months ago, Indore,0,0
