product_id,product_fullName,product_url,product_name,product_cost,review_title,review_content,review_rating,review_date,review_location,review_likes,review_dislikes
itm969854600ddd9,intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor/product-reviews/itm969854600ddd9?page=1,Intel i3-10105F,"12,000",Mind-blowing purchase,I think this is great processor. The problem is flipkart you need to improve your packaging this is a most important part of the pc build it should be delivered in a nice protection and what I got processor box in a paper package at give a kardbord packing,5,"Nov, 2022", Khamgaon,35,2
itm969854600ddd9,intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor/product-reviews/itm969854600ddd9?page=1,Intel i3-10105F,"12,000",Nice product,Good and excellent working❤️Best for 25-30k budget PC BUILDEntry level processor for budget gaming setup❤️,4,"Oct, 2022", Hisar,26,6
itm969854600ddd9,intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor/product-reviews/itm969854600ddd9?page=1,Intel i3-10105F,"12,000",Excellent,"O WHOA 🙆‍♂️ ...... This is the best processor ever 👌👍, speed is EXTREMELY GREAT ⭐⭐⭐⭐⭐ FANTASTIC , & the best part is ......... It really match with MSI motherboard , great performance ⭐⭐⭐⭐⭐Big THANK YOU to FLIPKART and the delivery boy .",5,"May, 2022", Shillong,28,8
itm969854600ddd9,intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor/product-reviews/itm969854600ddd9?page=1,Intel i3-10105F,"12,000",Excellent,Haven't used it yet but according to the price great processor,5,"Dec, 2022", Jalpaiguri District,5,0
itm969854600ddd9,intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor/product-reviews/itm969854600ddd9?page=1,Intel i3-10105F,"12,000",Fabulous!,Super quality only fire 🔥osm High performance boom 💥,5,"Dec, 2022", Sangli,7,1
itm969854600ddd9,intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor/product-reviews/itm969854600ddd9?page=1,Intel i3-10105F,"12,000",Good quality product,Working,4,"Jul, 2022", Dimapur,4,0
itm969854600ddd9,intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor/product-reviews/itm969854600ddd9?page=1,Intel i3-10105F,"12,000",Pretty good,Processor is good but it can't work without external graphics card..even the display is not on,5,"Oct, 2022", Sainthia,9,5
itm969854600ddd9,intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor/product-reviews/itm969854600ddd9?page=1,Intel i3-10105F,"12,000",Best in the market!,"Very good processor at low price. I am using it for last 3 months, has not face a single issue yet. Performance is super whether gaming or editing, it will not disappoint you for sure. Buy it without any doubt!!",5,"Apr, 2023", North 24 Parganas,1,0
itm969854600ddd9,intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor/product-reviews/itm969854600ddd9?page=1,Intel i3-10105F,"12,000",Just wow!,RetailNet trusted Seller Buy without any doubt,5,"Feb, 2023", Nashik,1,0
itm969854600ddd9,intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor,https://www.flipkart.com/intel-i3-10105f-3-7-ghz-upto-lga-1200-socket-4-cores-8-threads-desktop-processor/product-reviews/itm969854600ddd9?page=1,Intel i3-10105F,"12,000",Wonderful,best budget processor,5,"Oct, 2022", Anandpur Sahib,1,0
