product_id,product_fullName,product_url,product_name,product_cost,review_title,review_content,review_rating,review_date,review_location,review_likes,review_dislikes
itmd52175722a7c8,intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor,https://www.flipkart.com/intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor/product-reviews/itmd52175722a7c8?page=1,Intel Core,"6,500",Just okay,"Got defective product, also used product and dont have returns on it , please think before buying it and it doesn't show bad ratings and reviews i first given 1 star and it didn't show my review.",3,"Oct, 2020", Satara,98,5
itmd52175722a7c8,intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor,https://www.flipkart.com/intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor/product-reviews/itmd52175722a7c8?page=1,Intel Core,"6,500",Brilliant,"Working good, but it is used product not mentioned",5,"Jan, 2020", Kakinada,37,4
itmd52175722a7c8,intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor,https://www.flipkart.com/intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor/product-reviews/itmd52175722a7c8?page=1,Intel Core,"6,500",Very Good,"Thank god it worked . It is a 2nd hand one as evident from packaging . Pricing at 10k was ok considering I do not live in a tier 1 city . In my town its price was around 15k although I know in Tier1 city it would cost 6.5k . And most importantly order from a flipkart assured seller , it would be an assurance that product will work as it was in my case .Also after Heat sink cleaning , the processor beats other of same model with a 74 percentile benchmark on userbenchmark website . So I would...",4,"Aug, 2021", Contai,94,27
itmd52175722a7c8,intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor,https://www.flipkart.com/intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor/product-reviews/itmd52175722a7c8?page=1,Intel Core,"6,500",Brilliant,Higher speed all ok,5,"Dec, 2019", Raghunathpur Puruliya District,19,2
itmd52175722a7c8,intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor,https://www.flipkart.com/intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor/product-reviews/itmd52175722a7c8?page=1,Intel Core,"6,500",Mind-blowing purchase,"super seller, i got my item in good condition and i checked it is in excellent working condition.nice service thanking u",5,"Jun, 2021", Mandya,16,3
itmd52175722a7c8,intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor,https://www.flipkart.com/intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor/product-reviews/itmd52175722a7c8?page=1,Intel Core,"6,500",Classy product,i upgraded from g2030 got a huge performance boost its used but works perfectly :),5,"Jul, 2021", Cooch Behar,7,1
itmd52175722a7c8,intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor,https://www.flipkart.com/intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor/product-reviews/itmd52175722a7c8?page=1,Intel Core,"6,500",Brilliant,Not new but good as performance...,5,"Mar, 2020", Cuttack,11,2
itmd52175722a7c8,intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor,https://www.flipkart.com/intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor/product-reviews/itmd52175722a7c8?page=1,Intel Core,"6,500",Great product,"Good product, in my case the motherboard read it as i7 3770 2 Core 4 Thread. I fixed it in the bios, you can find related video's on Youtube.",5,"Jul, 2021", Kullu,5,0
itmd52175722a7c8,intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor,https://www.flipkart.com/intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor/product-reviews/itmd52175722a7c8?page=1,Intel Core,"6,500",Best in the market!,Working Good And if you are looking to buy it to upgrade an older pc with compatible mobo and psu go for it you wont have to worry about next 2 or 3 years to replace it also ypu can pair it with RTX 2060 Super to squeeze more fps out of any game since it doesn't bottleneck the gpu.,5,"Jun, 2020", Kopargaon,7,1
itmd52175722a7c8,intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor,https://www.flipkart.com/intel-core-i7-3770-3-4-ghz-upto-3-9-lga-1155-socket-4-cores-8-threads-mb-smart-cache-desktop-processor/product-reviews/itmd52175722a7c8?page=1,Intel Core,"6,500",Delightful,Awesome products. Working like a charm. But u can see some old use marks. Although that's not a big deal. But the price is a little bit high from my point of view. U can use it without any issue. But Windows 11 is not officially supported so point that.Other wise the processor can compit with i3 10100 if paired with a good gpu like rx 580.,4,"Sep, 2022", Kanchrapara,2,0
