product_id,product_fullName,product_url,product_name,product_cost,review_title,review_content,review_rating,review_date,review_location,review_likes,review_dislikes
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=1,Intel E8400,"1,516",Awesome,Processor was nice and too good in this price point and for sure you can go with it.If you have motherboard like g41(lga 775)Packaging was also very good but I will recommend you to pls check the processor once in the front of the delivery guy about it conditions if it's not looking good pls donot take the product.Order it again The product i received was good and nice completely looking like new.I'm very happy with the purchase.,5,"Nov, 2020", Allahabad,4,2
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=1,Intel E8400,"1,516",Very Good,"It's really a good product, working perfectly with my intel DG31PR motherboard and no need for formatting pc after installation, sellers provide me jenuine (2nd or 3rd hand whatever it is)good product.",4,"May, 2023", Malda,1,1
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=1,Intel E8400,"1,516",Did not meet expectations,Old product, ,2 months ago, Bareilly,0,1
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=1,Intel E8400,"1,516",Terrific,Nice products,5,2 months ago, Valsad District,0,0
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=1,Intel E8400,"1,516",Super!,+5 stars for providing thermal paste with the processor otherwise it would have cost Rs.200-300 more. The processor is working as intended. I benchmarked both my previous (C2D E4300) and this processor (overclocked to 3.3 Ghz) on Cinebench R23 and the results are in the images I've uploaded.,5,3 months ago, Jodhpur,0,0
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=1,Intel E8400,"1,516",Utterly Disappointed,"My money was wasted it's bad, not working 😭😭Can't even change it😭", ,6 months ago, Durg,2,0
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=1,Intel E8400,"1,516",Perfect product!,Although many scratches but works perfectly,5,7 months ago, Jaipur,0,1
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=1,Intel E8400,"1,516",Excellent,"Awesome! it's very good products it's change my Computer experience, I recommended it",5,7 months ago, South 24 Parganas,0,1
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=1,Intel E8400,"1,516",Nice product,"It is good, working ok, though it was old but working properly..",4,8 months ago, Dehradun,0,1
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=1,Intel E8400,"1,516",Must buy!,Working,5,11 months ago, Bid District,0,1
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=2,Intel E8400,"1,516",Must buy!,nice product...i installed just .......,5,"Oct, 2020", Abhayapuri,0,1
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=2,Intel E8400,"1,516",Pretty good,"Bought it a month ago, working fine without any issues. Packaging was decent btw.",4,"Oct, 2020", Kinwat,0,1
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=2,Intel E8400,"1,516",Pretty good,Good product,4,"Sep, 2020", Jalpaiguri District,0,0
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=2,Intel E8400,"1,516",Great product,Nice 😊👏👍,5,"Sep, 2020", Lohardaga District,0,0
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=2,Intel E8400,"1,516",Worth the money,Full support with g41 ddr3 dual channel,4,"Sep, 2020", Sundargarh District,0,0
itmd8w4zdpc49ux3,intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor,https://www.flipkart.com/intel-e8400-2-9-ghz-lga-775-socket-2-cores-desktop-processor/product-reviews/itmd8w4zdpc49ux3?page=2,Intel E8400,"1,516",Just okay,Good..,3,"Jul, 2020", New Delhi,0,0
